site,role,records,observed_targets,raw_timestamp_first,raw_timestamp_last,boundary_index,eligible_origins
0,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
1,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
2,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
3,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
4,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
5,validation,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
6,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
7,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
8,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
9,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
10,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
11,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
12,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
13,test,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
14,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
15,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
16,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
17,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
18,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
19,validation,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
20,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
21,validation,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
22,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
23,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
24,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
25,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
26,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
27,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
28,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
29,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
30,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
31,test,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
32,test,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
33,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
34,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
35,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
36,test,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
37,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
38,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
39,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
40,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
41,validation,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
42,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
43,validation,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
44,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
45,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
46,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
47,validation,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
48,test,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
49,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
50,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
51,test,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
52,validation,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
53,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
54,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
55,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
56,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
57,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
58,validation,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
