method,horizon_steps,forecast_kind,macro_site_mae,macro_site_rmse,micro_mae,micro_rmse,sites,origins,points
E0_daily_seasonal_persistence,1,post,0.07262127877523501,0.15386902168393135,0.07262127869411786,0.15536088651794755,12,30540,30540
E0_daily_seasonal_persistence,1,raw,0.07244266849011183,0.15387555956840515,0.07244266942192233,0.15536849084863,12,30540,30540
E0_daily_seasonal_persistence,4,post,0.07262128063788016,0.1538690241674582,0.07262128019301659,0.15536088933190417,12,30540,122160
E0_daily_seasonal_persistence,4,raw,0.07244269891331594,0.1538755583266417,0.072442698900264,0.15536849165257824,12,30540,122160
E0_daily_seasonal_persistence,24,post,0.07247728016227484,0.153715210656325,0.07247727949321074,0.15519689583844828,12,30540,732960
E0_daily_seasonal_persistence,24,raw,0.07229894058158,0.15372174978256226,0.07229894052241936,0.15520450726501428,12,30540,732960
E0_last_value,1,post,0.06243252381682396,0.10693587176501751,0.06243252457554386,0.10760931936690073,12,30540,30540
E0_last_value,1,raw,0.06228100322186947,0.10694067801038425,0.062281003900813994,0.10761428351817863,12,30540,30540
E0_last_value,4,post,0.12759802055855593,0.21127918362617493,0.12759801918334562,0.21149402161587258,12,30540,122160
E0_last_value,4,raw,0.1275002621114254,0.21131445715824762,0.12750026000896622,0.21152977229647638,12,30540,122160
E0_last_value,24,post,0.23993666097521782,0.34420114755630493,0.23993665907118056,0.344559161773155,12,30540,732960
E0_last_value,24,raw,0.23996242135763168,0.3443090294798215,0.23996242147635954,0.3446664217955049,12,30540,732960
E0_past_7_days_same_hour_mean,1,post,0.06546421566357215,0.1283802166581154,0.06546421563149123,0.12956480175012414,12,30540,30540
E0_past_7_days_same_hour_mean,1,raw,0.06527858910461266,0.12837894757588705,0.06527858951471176,0.12956348893492942,12,30540,30540
E0_past_7_days_same_hour_mean,4,post,0.06546422094106674,0.12838021852076054,0.06546422012818742,0.12956480416027383,12,30540,122160
E0_past_7_days_same_hour_mean,4,raw,0.06527858972549438,0.12837895130117735,0.06527858901507884,0.12956349303222536,12,30540,122160
E0_past_7_days_same_hour_mean,24,post,0.06545091917117436,0.12833931421240172,0.06545092023321958,0.1295188186993284,12,30540,732960
E0_past_7_days_same_hour_mean,24,raw,0.06526547980805238,0.1283380469928185,0.06526548047951543,0.12951750646281993,12,30540,732960
E1_original_chronos2,1,post,0.03398859081789851,0.07235921267420053,0.03398859065267567,0.07407845490717284,12,30540,30540
E1_original_chronos2,1,raw,0.03397179472570618,0.07235899288207293,0.033971794992782904,0.07407822601041614,12,30540,30540
E1_original_chronos2,4,post,0.044987534483273826,0.09484893083572388,0.04498753450864581,0.09695564689575607,12,30540,122160
E1_original_chronos2,4,raw,0.04497120094796022,0.09484877189000447,0.04497120000992871,0.09695546975396484,12,30540,122160
E1_original_chronos2,24,post,0.059180959748725094,0.12368493775526683,0.05918095989847672,0.12529344204958304,12,30540,732960
E1_original_chronos2,24,raw,0.05916807924707731,0.12368537671864033,0.059168079028975834,0.12529400298507568,12,30540,732960
